YYMM|CC-CODE|CC-DESC|RCODE-CODE|RCODE-DESC|CCAATT-CODE|CCAATT-DESC|CCAATTMM-CODE|CCAATTMM-DESC|MALE|FEMALE|TOTAL|HOUSE|
6312|72|จังหวัดสุพรรณบุรี |0| |0| |0| |404,658|433,970|838,628|306,999|
6312|73|จังหวัดนครปฐม |0| |0| |0| |441,884|478,845|920,729|411,586|
6312|74|จังหวัดสมุทรสาคร |0| |0| |0| |282,723|303,476|586,199|296,825|
6312|75|จังหวัดสมุทรสงคราม |0| |0| |0| |91,825|100,227|192,052|72,732|
6312|76|จังหวัดเพชรบุรี |0| |0| |0| |232,915|249,278|482,193|220,362|
6312|77|จังหวัดประจวบคีรีขันธ์ |0| |0| |0| |272,849|277,829|550,678|271,890|
6312|80|จังหวัดนครศรีธรรมราช |0| |0| |0| |765,370|785,351|1,550,721|581,948|
6312|81|จังหวัดกระบี่ |0| |0| |0| |237,242|240,528|477,770|193,701|
6312|82|จังหวัดพังงา |0| |0| |0| |133,743|134,486|268,229|118,609|
6312|83|จังหวัดภูเก็ต |0| |0| |0| |195,795|218,676|414,471|272,917|
6312|84|จังหวัดสุราษฎร์ธานี |0| |0| |0| |525,716|542,010|1,067,726|512,366|
6312|85|จังหวัดระนอง |0| |0| |0| |98,154|96,218|194,372|92,739|
6312|86|จังหวัดชุมพร |0| |0| |0| |251,370|257,838|509,208|240,248|
6312|90|จังหวัดสงขลา |0| |0| |0| |696,349|732,260|1,428,609|553,597|
6312|91|จังหวัดสตูล |0| |0| |0| |161,303|162,795|324,098|105,903|
6312|92|จังหวัดตรัง |0| |0| |0| |313,368|327,206|640,574|234,863|
6312|93|จังหวัดพัทลุง |0| |0| |0| |254,908|268,169|523,077|197,086|
6312|94|จังหวัดปัตตานี |0| |0| |0| |358,611|367,404|726,015|195,224|
6312|95|จังหวัดยะลา |0| |0| |0| |267,919|270,683|538,602|170,091|
6312|96|จังหวัดนราธิวาส |0| |0| |0| |397,700|406,729|804,429|219,403|
6212|0|ทั่วประเทศ|0| |0| |0| |32,605,100|33,953,835|66,558,935|26,713,936|
6212|10|กรุงเทพมหานคร|0| |0| |0| |2,669,316|2,996,948|5,666,264|3,041,115|
6212|11|จังหวัดสมุทรปราการ |0| |0| |0| |642,774|702,101|1,344,875|693,926|
6212|12|จังหวัดนนทบุรี |0| |0| |0| |589,949|675,438|1,265,387|701,932|
6212|13|จังหวัดปทุมธานี |0| |0| |0| |552,156|611,448|1,163,604|624,930|
6212|14|จังหวัดพระนครศรีอยุธยา |0| |0| |0| |394,901|425,287|820,188|329,102|
6212|15|จังหวัดอ่างทอง |0| |0| |0| |134,095|145,559|279,654|99,928|
6212|16|จังหวัดลพบุรี |0| |0| |0| |378,813|376,743|755,556|295,486|
6212|17|จังหวัดสิงห์บุรี |0| |0| |0| |99,265|109,181|208,446|77,432|
6212|18|จังหวัดชัยนาท |0| |0| |0| |157,132|169,479|326,611|125,029|
6212|19|จังหวัดสระบุรี |0| |0| |0| |318,243|327,668|645,911|277,184|
6212|20|จังหวัดชลบุรี |0| |0| |0| |762,141|796,160|1,558,301|1,047,473|
6212|21|จังหวัดระยอง |0| |0| |0| |361,109|373,644|734,753|489,617|
6212|22|จังหวัดจันทบุรี |0| |0| |0| |263,485|274,213|537,698|239,184|
6212|23|จังหวัดตราด |0| |0| |0| |113,973|115,985|229,958|106,685|
6212|24|จังหวัดฉะเชิงเทรา |0| |0| |0| |353,368|366,745|720,113|305,121|
6212|25|จังหวัดปราจีนบุรี |0| |0| |0| |245,180|249,500|494,680|214,024|
6212|26|จังหวัดนครนายก |0| |0| |0| |129,046|131,705|260,751|99,423|
6212|27|จังหวัดสระแก้ว |0| |0| |0| |283,497|282,806|566,303|212,786|
6212|30|จังหวัดนครราชสีมา |0| |0| |0| |1,303,944|1,344,983|2,648,927|983,771|
6212|31|จังหวัดบุรีรัมย์ |0| |0| |0| |793,262|802,485|1,595,747|468,483|
6212|32|จังหวัดสุรินทร์ |0| |0| |0| |696,248|700,583|1,396,831|397,878|
6212|33|จังหวัดศรีสะเกษ |0| |0| |0| |734,405|738,454|1,472,859|393,356|
6212|34|จังหวัดอุบลราชธานี |0| |0| |0| |939,054|939,092|1,878,146|605,004|
6212|35|จังหวัดยโสธร |0| |0| |0| |268,774|268,525|537,299|172,580|
6212|36|จังหวัดชัยภูมิ |0| |0| |0| |562,900|574,457|1,137,357|394,064|
6212|37|จังหวัดอำนาจเจริญ |0| |0| |0| |188,632|189,806|378,438|117,994|
6212|38|จังหวัดบึงกาฬ |0| |0| |0| |212,859|211,232|424,091|135,143|
6212|39|จังหวัดหนองบัวลำภู |0| |0| |0| |256,221|256,559|512,780|149,891|
